taxa	FE41	FE46	FE33	FE22	FE19	FE31	FE20	FE6	FE43	FE16	FE23	FE15	taxonomy 
taxa1	0	0	0	0	0	0	0	1	0	0	0	0	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Aspergillaceae;g_Aspergillus;s_Aspergillus_sp.
taxa2	0	0	1	0	0	0	0	0	0	1	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Cantharellales;f_Ceratobasidiaceae;g_Ceratobasidium;s_Ceratobasidium_sp.
taxa3	0	0	0	0	0	2	0	0	1	8	0	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Soradariales;f_Chaetomiaceae;g_Chaetomium;s_Chaetomium_sp.
taxa4	0	0	0	0	0	0	0	0	1	2	0	0	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Cladosporiales;f_Cladosporiaceae;g_Cladosporium;s_Cladosporium_sp.
taxa5	0	0	0	0	0	1	1	1	3	0	0	0	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Pleosporaceae;g_Drechslera;s_Drechslera_sp.
taxa6	1	1	4	0	0	2	13	2	1	4	0	7	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Fusarium;s_Fusarium_sp.
taxa7	0	0	0	0	1	0	0	0	0	0	0	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Fusarium;s_Fusarium_sp.
taxa8	0	0	0	0	0	0	0	0	0	2	1	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Fusarium;s_Fusarium_solani_species_complex
taxa9	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Chaetomiaceae;g_Humicola;s_Humicola_sp.
taxa10	0	0	0	0	0	0	0	0	1	0	0	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Ilyonectria;s_Ilyonectria_sp.
taxa11	0	0	0	0	0	0	0	0	0	0	0	1	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_unidentified;s_unidentifed_Nectriaceae
taxa12	0	0	0	0	0	0	0	0	2	0	0	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Soradariales;f_Chaetomiaceae;g_Parachaetomium;s_parachaetomium_sp.
taxa13	0	0	0	1	0	0	0	1	2	5	0	2	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Aspergillaceae;g_Penicillium;s_Penicillium_brevicompactum
taxa14	0	2	0	0	0	12	2	7	14	6	0	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Sarocladiaceae;g_Sarocladium;s_Sarocladium_sp.
taxa15	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_unidentified;f_unidentified;g_unidentified;s_unidentifed_Sordariomycete
taxa16	0	0	0	0	0	0	0	0	0	0	1	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Soradariales;f_Chaetomiaceae;g_Trichocladium;s_Trichocladium_sp.
taxa17	0	1	1	0	1	0	2	1	0	0	2	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Hypocreaceae;g_Trichoderma;s_Trichoderma_sp.
taxa18	0	0	0	0	0	0	0	0	0	0	1	0	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified_fungus1
taxa19	0	0	0	0	0	0	1	0	0	0	0	0	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified_fungus2
taxa20	0	0	0	0	0	0	1	0	0	0	0	0	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified_fungus3
