taxa	Kingdom	Phylum	Class	Order	Family	Genus	Species
taxa1	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__Aspergillus_sp.
taxa2	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Ceratobasidium	s__Ceratobasidium_sp.
taxa14	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Sarocladiaceae	g__Sarocladium	s__Sarocladium_sp.
taxa4	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cladosporium	s__Cladosporium_sp.
taxa5	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Drechslera	s__Drechslera_sp.
taxa6	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__Fusarium_sp.
taxa7	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__Fusarium_sp.
taxa8	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__Fusarium_solani_species_complex
taxa9	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Humicola	s__Humicola_sp.
taxa10	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Ilyonectria	s__Ilyonectria_sp.
taxa11	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__unidentified	s__unidentified_Nectriaceae
taxa17	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__Trichoderma_sp.
taxa13	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__Penicillium_brevicompactum
taxa3	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Soradariales	f__Chaetomiaceae	g__Chaetomium	s__Chaetomium_sp.
taxa15	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__unidentified	f__unidentified	g__unidentified	s__unidentified_Sordariomycete
taxa12	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Soradariales	f__Chaetomiaceae	g__Parachaetomium	s__parachaetomium_sp.
taxa16	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Soradariales	f__Chaetomiaceae	g__Trichocladium	s__Trichocladium_sp.
taxa18	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified_fungus1
taxa19	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified_fungus2
taxa20	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified_fungus3
